Id,Time[ns],I²S
257,18230800.00000000000000000000,Left channel: 0002eabe
258,18262800.00000000000000000000,Right channel: 00000000
259,18294800.00000000000000000000,Left channel: 00fdfd7a
260,18326800.00000000000000000000,Right channel: 00000000
261,18358800.00000000000000000000,Left channel: 00fbc1fb
262,18390820.00000000000000000000,Right channel: 00000000
263,18422820.00000000000000000000,Left channel: 00fa1cfa
264,18454820.00000000000000000000,Right channel: 00000000
265,18486820.00000000000000000000,Left channel: 00fa29bd
266,18518840.00000000000000000000,Right channel: 00000000
267,18550840.00000000000000000000,Left channel: 00f91994
268,18582840.00000000000000000000,Right channel: 00000000
269,18614840.00000000000000000000,Left channel: 00fc6ebf
270,18646860.00000000000000000000,Right channel: 00000000
271,18678860.00000000000000000000,Left channel: 0001d22d
272,18710860.00000000000000000000,Right channel: 00000000
273,18742860.00000000000000000000,Left channel: 00034c92
274,18774880.00000000000000000000,Right channel: 00000000
275,18806880.00000000000000000000,Left channel: 00058461
276,18838880.00000000000000000000,Right channel: 00000000
277,18870880.00000000000000000000,Left channel: 0006e6e3
278,18902880.00000000000000000000,Right channel: 00000000
279,18934900.00000000000000000000,Left channel: 0002da19
280,18966900.00000000000000000000,Right channel: 00000000
281,18998900.00000000000000000000,Left channel: 00fedace
282,19030900.00000000000000000000,Right channel: 00000000
283,19062920.00000000000000000000,Left channel: 00ffb211
284,19094920.00000000000000000000,Right channel: 00000000
285,19126920.00000000000000000000,Left channel: 0001d24c
286,19158920.00000000000000000000,Right channel: 00000000
287,19190940.00000000000000000000,Left channel: 00030254
288,19222940.00000000000000000000,Right channel: 00000000
289,19254940.00000000000000000000,Left channel: 00fec09a
290,19286940.00000000000000000000,Right channel: 00000000
291,19318960.00000000000000000000,Left channel: 00fe38e3
292,19350960.00000000000000000000,Right channel: 00000000
293,19382960.00000000000000000000,Left channel: 000444fe
294,19414960.00000000000000000000,Right channel: 00000000
295,19446960.00000000000000000000,Left channel: 00035790
296,19478980.00000000000000000000,Right channel: 00000000
297,19510980.00000000000000000000,Left channel: 00fde221
298,19542980.00000000000000000000,Right channel: 00000000
299,19574980.00000000000000000000,Left channel: 00fe4e59
300,19607000.00000000000000000000,Right channel: 00000000
301,19639000.00000000000000000000,Left channel: 00fdd9bd
302,19671000.00000000000000000000,Right channel: 00000000
303,19703000.00000000000000000000,Left channel: 00ff3b98
304,19735020.00000000000000000000,Right channel: 00000000
305,19767020.00000000000000000000,Left channel: 00fea010
306,19799020.00000000000000000000,Right channel: 00000000
307,19831020.00000000000000000000,Left channel: 00fdae5c
308,19863040.00000000000000000000,Right channel: 00000000
309,19895040.00000000000000000000,Left channel: 00fef883
310,19927040.00000000000000000000,Right channel: 00000000
311,19959040.00000000000000000000,Left channel: 00ffc5a5
312,19991040.00000000000000000000,Right channel: 00000000
313,20023060.00000000000000000000,Left channel: 0003eb59
314,20055060.00000000000000000000,Right channel: 00000000
315,20087060.00000000000000000000,Left channel: 0003c9d4
316,20119060.00000000000000000000,Right channel: 00000000
317,20151080.00000000000000000000,Left channel: 00fd7b54
318,20183080.00000000000000000000,Right channel: 00000000
319,20215080.00000000000000000000,Left channel: 00fc212b
320,20247080.00000000000000000000,Right channel: 00000000
321,20279100.00000000000000000000,Left channel: 00fcc380
322,20311100.00000000000000000000,Right channel: 00000000
323,20343100.00000000000000000000,Left channel: 00004f07
324,20375100.00000000000000000000,Right channel: 00000000
325,20407120.00000000000000000000,Left channel: 00016b09
326,20439120.00000000000000000000,Right channel: 00000000
327,20471120.00000000000000000000,Left channel: 00ff241d
328,20503120.00000000000000000000,Right channel: 00000000
329,20535120.00000000000000000000,Left channel: 00ff7471
330,20567140.00000000000000000000,Right channel: 00000000
331,20599140.00000000000000000000,Left channel: 00013730
332,20631140.00000000000000000000,Right channel: 00000000
333,20663140.00000000000000000000,Left channel: 0003366b
334,20695160.00000000000000000000,Right channel: 00000000
335,20727160.00000000000000000000,Left channel: 0003676f
336,20759160.00000000000000000000,Right channel: 00000000
337,20791160.00000000000000000000,Left channel: 000246a4
338,20823180.00000000000000000000,Right channel: 00000000
