Id,Time[ns],I²S
444,19108260.00000000000000000000,Left channel: 00006b60
445,19128740.00000000000000000000,Right channel: 00ffffff
446,19149220.00000000000000000000,Left channel: 00037404
447,19169700.00000000000000000000,Right channel: 00ffffff
448,19190180.00000000000000000000,Left channel: 00036c26
449,19210680.00000000000000000000,Right channel: 00ffffff
450,19231160.00000000000000000000,Left channel: 00012a65
451,19251640.00000000000000000000,Right channel: 00ffffff
452,19272120.00000000000000000000,Left channel: 00014830
453,19292600.00000000000000000000,Right channel: 00ffffff
454,19313080.00000000000000000000,Left channel: 00ff3041
455,19333580.00000000000000000000,Right channel: 00ffffff
456,19354060.00000000000000000000,Left channel: 00ffdd6d
457,19374540.00000000000000000000,Right channel: 00ffffff
458,19395020.00000000000000000000,Left channel: 0001ed54
459,19415500.00000000000000000000,Right channel: 00ffffff
460,19435980.00000000000000000000,Left channel: 0000c732
461,19456460.00000000000000000000,Right channel: 00ffffff
462,19476960.00000000000000000000,Left channel: 00fce82d
463,19497440.00000000000000000000,Right channel: 00ffffff
464,19517920.00000000000000000000,Left channel: 00fc0e4d
465,19538400.00000000000000000000,Right channel: 00ffffff
466,19558880.00000000000000000000,Left channel: 00fc9141
467,19579360.00000000000000000000,Right channel: 00ffffff
468,19599860.00000000000000000000,Left channel: 00fcc3df
469,19620340.00000000000000000000,Right channel: 00ffffff
470,19640820.00000000000000000000,Left channel: 00ff3b42
471,19661300.00000000000000000000,Right channel: 00ffffff
472,19681780.00000000000000000000,Left channel: 00fe831f
473,19702260.00000000000000000000,Right channel: 00ffffff
474,19722740.00000000000000000000,Left channel: 00fe55cb
475,19743240.00000000000000000000,Right channel: 00ffffff
476,19763720.00000000000000000000,Left channel: 00ff72b5
477,19784200.00000000000000000000,Right channel: 00ffffff
478,19804680.00000000000000000000,Left channel: 00ff0ce2
479,19825160.00000000000000000000,Right channel: 00ffffff
480,19845640.00000000000000000000,Left channel: 00011814
481,19866120.00000000000000000000,Right channel: 00ffffff
482,19886620.00000000000000000000,Left channel: 0000ef8f
483,19907100.00000000000000000000,Right channel: 00ffffff
484,19927580.00000000000000000000,Left channel: 00ff5b91
485,19948060.00000000000000000000,Right channel: 00ffffff
486,19968540.00000000000000000000,Left channel: 00fded79
487,19989020.00000000000000000000,Right channel: 00ffffff
488,20009520.00000000000000000000,Left channel: 00fb8cb6
489,20030000.00000000000000000000,Right channel: 00ffffff
490,20050480.00000000000000000000,Left channel: 00fd1c69
491,20070960.00000000000000000000,Right channel: 00ffffff
492,20091440.00000000000000000000,Left channel: 00fef476
493,20111920.00000000000000000000,Right channel: 00ffffff
494,20132400.00000000000000000000,Left channel: 00019b93
495,20152900.00000000000000000000,Right channel: 00ffffff
496,20173380.00000000000000000000,Left channel: 00ffff18
497,20193860.00000000000000000000,Right channel: 00ffffff
498,20214340.00000000000000000000,Left channel: 00fdff86
499,20234820.00000000000000000000,Right channel: 00ffffff
500,20255300.00000000000000000000,Left channel: 00fe5d15
501,20275800.00000000000000000000,Right channel: 00ffffff
502,20296280.00000000000000000000,Left channel: 00fd0a1f
503,20316760.00000000000000000000,Right channel: 00ffffff
504,20337240.00000000000000000000,Left channel: 0000227c
505,20357720.00000000000000000000,Right channel: 00ffffff
506,20378200.00000000000000000000,Left channel: 000243af
507,20398680.00000000000000000000,Right channel: 00ffffff
508,20419160.00000000000000000000,Left channel: 00ff76d5
509,20439660.00000000000000000000,Right channel: 00ffffff
510,20460140.00000000000000000000,Left channel: 00fd3e06
511,20480620.00000000000000000000,Right channel: 00ffffff
512,20501100.00000000000000000000,Left channel: 00ff6af4
513,20521580.00000000000000000000,Right channel: 00ffffff
514,20542060.00000000000000000000,Left channel: 00fd9a14
