Id,Time[ns],I²S
463,19497440.00000000000000000000,Right channel: 00000000
464,19517920.00000000000000000000,Left channel: 000055a2
465,19538400.00000000000000000000,Right channel: 00000000
466,19558880.00000000000000000000,Left channel: 00003225
467,19579360.00000000000000000000,Right channel: 00000000
468,19599860.00000000000000000000,Left channel: 00001b97
469,19620340.00000000000000000000,Right channel: 00000000
470,19640820.00000000000000000000,Left channel: 00008a30
471,19661300.00000000000000000000,Right channel: 00000000
472,19681780.00000000000000000000,Left channel: 000069b4
473,19702260.00000000000000000000,Right channel: 00000000
474,19722740.00000000000000000000,Left channel: 0000e4da
475,19743240.00000000000000000000,Right channel: 00000000
476,19763720.00000000000000000000,Left channel: 0000b8de
477,19784200.00000000000000000000,Right channel: 00000000
478,19804680.00000000000000000000,Left channel: 00000a11
479,19825160.00000000000000000000,Right channel: 00000000
480,19845640.00000000000000000000,Left channel: 00000b74
481,19866120.00000000000000000000,Right channel: 00000000
482,19886620.00000000000000000000,Left channel: 000020d5
483,19907100.00000000000000000000,Right channel: 00000000
484,19927580.00000000000000000000,Left channel: 000096f8
485,19948060.00000000000000000000,Right channel: 00000000
486,19968540.00000000000000000000,Left channel: 00007c83
487,19989020.00000000000000000000,Right channel: 00000000
488,20009520.00000000000000000000,Left channel: 0000905c
489,20030000.00000000000000000000,Right channel: 00000000
490,20050480.00000000000000000000,Left channel: 00009723
491,20070960.00000000000000000000,Right channel: 00000000
492,20091440.00000000000000000000,Left channel: 0000bb53
493,20111920.00000000000000000000,Right channel: 00000000
494,20132400.00000000000000000000,Left channel: 00004ae0
495,20152900.00000000000000000000,Right channel: 00000000
496,20173380.00000000000000000000,Left channel: 0000e028
497,20193860.00000000000000000000,Right channel: 00000000
498,20214340.00000000000000000000,Left channel: 00007790
499,20234820.00000000000000000000,Right channel: 00000000
500,20255300.00000000000000000000,Left channel: 00008fb8
501,20275800.00000000000000000000,Right channel: 00000000
502,20296280.00000000000000000000,Left channel: 00007a2f
503,20316760.00000000000000000000,Right channel: 00000000
504,20337240.00000000000000000000,Left channel: 0000c252
505,20357720.00000000000000000000,Right channel: 00000000
506,20378200.00000000000000000000,Left channel: 0000b962
507,20398680.00000000000000000000,Right channel: 00000000
508,20419160.00000000000000000000,Left channel: 0000ea1c
509,20439660.00000000000000000000,Right channel: 00000000
510,20460140.00000000000000000000,Left channel: 0000eb89
511,20480620.00000000000000000000,Right channel: 0000a7c0
512,20501100.00000000000000000000,Left channel: 00009a09
